,name,old_size,new_size,operations,algo,set,action,num,size
201,set_100_1_1.haff,77611,106509,1427272.0,haff,1,d,1,100
154,set_100_2_1.haff,76829,106512,1435776.6666666667,haff,2,d,1,100
215,set_100_3_1.haff,83701,106510,1570387.6666666667,haff,3,d,1,100
151,set_1_1_1.haff,732537,1007739,13462130.666666666,haff,1,d,1,1
209,set_1_2_1.haff,724456,1007782,13341756.333333334,haff,2,d,1,1
164,set_1_3_1.haff,785493,1007785,14406953.333333334,haff,3,d,1,1
173,set_20_1_1.haff,18098,24579,333718.0,haff,1,d,1,20
202,set_20_2_1.haff,18202,24582,356595.6666666667,haff,2,d,1,20
183,set_20_3_1.haff,19873,24579,404576.3333333333,haff,3,d,1,20
200,set_2_1_1.haff,1458962,2007285,26810733.333333332,haff,1,d,1,2
148,set_2_2_1.haff,1441710,2007381,26543748.0,haff,2,d,1,2
203,set_2_3_1.haff,1564668,2007370,28647415.666666668,haff,3,d,1,2
171,set_3_1_1.haff,2185326,3006831,40159280.666666664,haff,1,d,1,3
180,set_3_2_1.haff,2159711,3006951,39751799.0,haff,2,d,1,3
157,set_3_3_1.haff,2342968,3006948,42881756.333333336,haff,3,d,1,3
169,set_40_1_1.haff,30004,40965,552385.3333333334,haff,1,d,1,40
153,set_40_2_1.haff,29949,40966,572777.3333333334,haff,2,d,1,40
187,set_40_3_1.haff,32695,40967,638421.0,haff,3,d,1,40
162,set_60_1_1.haff,47860,65544,880456.3333333334,haff,1,d,1,60
191,set_60_2_1.haff,47573,65547,896903.0,haff,2,d,1,60
167,set_60_3_1.haff,51786,65548,988454.3333333334,haff,3,d,1,60
176,set_80_1_1.haff,59766,81930,1099229.6666666667,haff,1,d,1,80
212,set_80_2_1.haff,59301,81931,1113271.6666666667,haff,2,d,1,80
214,set_80_3_1.haff,64449,81932,1221123.6666666667,haff,3,d,1,80
229,set_100_1_1.shan,77676,106509,1636176.6666666667,shan,1,d,1,100
283,set_100_2_1.shan,77126,106512,1623705.0,shan,2,d,1,100
286,set_100_3_1.shan,83778,106510,1733022.6666666667,shan,3,d,1,100
239,set_1_1_1.shan,732700,1007739,15475306.666666666,shan,1,d,1,1
260,set_1_2_1.shan,726084,1007782,15358870.0,shan,2,d,1,1
244,set_1_3_1.shan,785787,1007785,16375760.333333334,shan,3,d,1,1
225,set_20_1_1.shan,18130,24579,378188.6666666667,shan,1,d,1,20
231,set_20_2_1.shan,18275,24582,376902.0,shan,2,d,1,20
250,set_20_3_1.shan,19900,24579,402448.6666666667,shan,3,d,1,20
245,set_2_1_1.shan,1459177,2007285,30824264.333333332,shan,1,d,1,2
273,set_2_2_1.shan,1444790,2007381,30581392.0,shan,2,d,1,2
271,set_2_3_1.shan,1565095,2007370,32617357.666666668,shan,3,d,1,2
279,set_3_1_1.shan,2185690,3006831,46173351.333333336,shan,1,d,1,3
274,set_3_2_1.shan,2164260,3006951,45813148.333333336,shan,2,d,1,3
281,set_3_3_1.shan,2343503,3006948,48852992.333333336,shan,3,d,1,3
257,set_40_1_1.shan,30037,40965,629726.0,shan,1,d,1,40
234,set_40_2_1.shan,30069,40966,626670.6666666666,shan,2,d,1,40
252,set_40_3_1.shan,32745,40967,669360.3333333334,shan,3,d,1,40
247,set_60_1_1.shan,47900,65544,1007152.0,shan,1,d,1,60
261,set_60_2_1.shan,47779,65547,1001065.6666666666,shan,2,d,1,60
237,set_60_3_1.shan,51852,65548,1068827.0,shan,3,d,1,60
278,set_80_1_1.shan,59810,81930,1258724.3333333333,shan,1,d,1,80
282,set_80_2_1.shan,59529,81931,1250849.6666666667,shan,2,d,1,80
264,set_80_3_1.shan,64521,81932,1334402.3333333333,shan,3,d,1,80
56,set_100_1_1.txt,106509,77611,1021556.3333333334,haff,1,c,1,100
114,set_100_2_1.txt,106512,76829,1038584.0,haff,2,c,1,100
50,set_100_3_1.txt,106510,83701,1120381.6666666667,haff,3,c,1,100
84,set_1_1_1.txt,1007739,732537,9619520.333333334,haff,1,c,1,1
46,set_1_2_1.txt,1007782,724456,9568413.0,haff,2,c,1,1
130,set_1_3_1.txt,1007785,785493,10142877.333333334,haff,3,c,1,1
90,set_20_1_1.txt,24579,18098,240202.66666666666,haff,1,c,1,20
88,set_20_2_1.txt,24582,18202,264828.6666666667,haff,2,c,1,20
